,text,date,nickname,date_year,sentiment,sentiment_score
0,"georgia institute of technology ve koç üniversitesi'nde öğretim üyesi. galatasaray liseli, boğaziçili, brown ve stanford'lu. milliyet gazetesinde köşe yazarı. harika bir blog sahibi gurme.
www.gastroville.com",2006-06-19,carlos,2006,Pozitif,0.9992837905883789
1,"milliyet gazetesi'ndeki kosesi ile okuyucularini dunyanin cesitli koselerinde bulunan en lezzetli yemeklerin yapildigi lokantalara goturen, yazi uslubuyla da yedigi her lokmayi sanki hissettiriyormus gibi yazan, ince zevk sahibi gazeteci, gastronome.",2007-04-25,anotherstar,2007,Nötr,0.9476029276847839
2,"hem yurtici hem de yurtdisi lokantalar hakkinda guzel yorumlarda bulunan yemek yazaridir, kesinlikle takip edilesidir. yemek olayinin ciddi takipcisi oldugu konusunda suphe yok, yani yarim bilgiyle bi bucuk porsiyon iskembeden sallayan yazarlardan degil. hem arastirmaya merakli, hem de yazdigi seyleri dunyada degisik yerlerde tecrube etmis birisi. yani ""dana yanagi soyle boyle pisirilir"" diyorsa hem dana yanagi konusunda arastirma yapmis, hem de degisik yerlerde dana yanagi yemistir. gastroville adli web s",2008-04-20,crespo,2008,Pozitif,0.989727258682251
3,son derece güzel tespitleri olan biri. özellikle de türklerin yemek yemek için yaptıkları mekanların eleştirisi konusunda çok yerli yerinde şeyler söylemektedir. çokluk bizde ölçüdür. bu ölçüyü çok ölçülü bir biçimde eleştiriyor.,2008-12-14,seagullineskisehir,2008,Pozitif,0.9992225170135498
4,"ntv de konusu dunya mutfagi olan tadi damagimda adiyla yeni bir programa baslayan ve program icin istanbul daki restoranlari dolasip ""ne zaman, nerede, ne yenmeli"" sorusuna cevap arayan gurme.",2009-01-23,isikokunem,2009,Nötr,0.9995444416999817
5,"programında beğenmediği, eksik bulduğunu da söyleyen adam. tavsiyelerine uyulabileceği de ortada. lüks mekanlar peşinde koşmayıp salaş yerleri de bulu çıkarması takdire şayan.",2009-02-08,cnbce,2009,Nötr,0.8439085483551025
6,"gecenin bir yarısı insanın karşısına karnı zil çalarken 'ımmm nefis doğrusu, şef bu sosun içine ne koyuyosunuz? bi kaşık alabilir miyim, bir damlasını dahi boşa harcamak istemiyorum bu enfes sosun çünkü.. ımmm' diye ımm'layarak ntv ekranlarında çıkabilen bir adam.

edit: yine çıktı.. fettuchini'li makarna yiyo. saat kaç şeker abicim? abi acıma yok mu hiç sende bu saatte öğrenci adamın aklına giriosun? ben demedim mi bu saatte yemek yemiceksin milletin önünde diye? demedim mi yersen benim de canım çekiyo di",2009-02-10,silencender,2009,Nötr,0.7617170214653015
10,"kendilerine gurme diyen ya da bu sekilde anilan insanlari sevmem; bu isten para kazanlardansa hepten tiksinirim --burada biraz kiskanclik sozkonusu olabilir, kabulumdur.
vedat milor'un tek bir yazisini okudum, yanilmiyorsam milliyet'te idi. sarabin yemege arti deger getirmesi gerektiginden bahsediyor, eger bunu saglamiyorsa icilmemesini salik veriyordu. abi sarap iste, ne arti degeri, ic gitsin; yok ama illa bir arti deger illa bir getiri/goturu. bilincaltima isleyen ve neredeyse yedigim yemeklerin yarisin",2009-02-14,k mno4,2009,Nötr,0.8426084518432617
9,(bkz: yes milord),2009-02-14,fredi,2009,Nötr,0.999383807182312
8,"şuan yanımda olsa ağzını burnunu kırarım o derece uyuz oluyorum kendisine. bir insan bu kadar mı özendirerek yemek yer ve yemek konusunda bu kadar mı bilgili olur. onun programını izlerken yanıma peçete alıyorum, salya için.",2009-02-14,huzur izlanda,2009,Negatif,0.9992878437042236
7,(eğer aynı mekanda farklı günlerde çekim yapılmıyorsa) çok sağlam yemektedir kendisi. ben onun yediğinin yarısını yesem 3 gün yerimden kalkamam.,2009-02-14,astrocracy,2009,Pozitif,0.9988275170326233
11,"ilk seyrettiğimde snob ukala zor beğenen bir izlenimi bıraktı bende, bir italyan lokantasında kırmızı şarap eşliğinde dana yanağı yiyordu.

sonraları daha orta direk türk usulü yerlerde yemeye başladı, konyalılarda tandır, samatya da bir karadeniz lokantasında fasulye, mıhlama vs.

son gittiği yerlere doğal olarak ambiyanstan zayıf not veriyor ama lezette puanları yüksek tutuyor.
bu haliyle program daha sıcak daha ulaşılabilir oluyor, en sevdiğim tarafı da yeri geldiğinde yemeğe elle dalıyor, tandırın yanı",2009-02-17,silensio,2009,Nötr,0.953449010848999
12,az once yayinlanan programda sur ocakbaşı'da seyyar profesörümüz ahmet maranki'nin yememizi salık verdiği kozmik salataya hiç de konulmayacak kebaplar şişler yiyen gurme. gece gece beni de günaha sokacak şimdi.,2009-02-21,21gramslighter,2009,Negatif,0.9995137453079224
13,"sakatat yemeye bayılan, yemeğin tadını anlamak için önce ekmeği yağına bandırıp da yiyen bir insandır kendisi. sur ocakbaşı'nda görüldüğü kadarıyla lokanta sahibiyle konuşurken de yemeye devam eder, bir elinde pide, diğer elinde büryan kebaptan bir parça tutar ve yerken fransada hayvanın etinin tuzlu olması için deniz kenarında otlatıldığını falan anlatır. ayrıca masaya misler gibi kebaplar veya lahmacunlar geldiğinde yüzünde oluşan mutluluk ifadesini kimsede görmemişimdir, o da ayrı..",2009-02-24,lillien nienna,2009,Nötr,0.9887269735336304
14,blogunun yeni adresi http://www.gastromondiale.com/ 'dur,2009-03-12,sekerpare,2009,Nötr,0.998195469379425
15,"http://www.yeniaktuel.com.tr/dun104,188@2100.html",2009-04-05,hdana,2009,Nötr,0.9614229798316956
16,şarap eşliğinde ahtapot ve kalkan balığını ve daha sonra da paça ve işkembe çorbasını aynı programda tüketerek akşam akşam güldürmüş gurme. paça çorbasını içerkenki yüz ifadesi görülmeye değerdi. yemiyor yaşıyor adam. asla işkembe dışında sakatat yemem diyen ben bile acaba bi denesem mi diye düşündüm.,2009-04-09,dystrophin,2009,Pozitif,0.9931171536445618
18,"kişiye hayatı ve ideallerini sorgulatan adam. düşünür oldum şimdiye kadar uğraştığım, eğitimini aldığım iş beni tatmin ediyor mu diye. yaktıracak vallahi bütün tahsil hayatımı, bütün gelecek planlarımı..",2009-04-23,votkalimon,2009,Negatif,0.9932946562767029
17,"herkes ev almak için araba almak için para biriktirirdi, ben para biriktirip italyaya, ispanyaya gider yemek yerdim diyen adam",2009-04-23,740,2009,Nötr,0.9811728000640869
